"Mkt Al","Orig","Dest","Op Al","Stop-1 Al","Stop-1 Airport","Stop-2 Al","Stop-2 Airport","Total Pax","Pax Share","% POO Orig","% POO Dest","% POO Other","Fare","Rev","Yield","Year","Month","Class","Year-Month-Day"
"MU","SZX","SYD","CA","MU","PVG",NULL,NULL,"3.9087","0.0025786536738533","95.12691687773427","0","4.882107350269911","299.9888453961675","1172.5664","0.0404962906528048","2022","Jan","DiscountEco","2022-01-01 00:00:00"
"MU","CKG","SYD","CA","MU","PVG",NULL,NULL,"1.0551","0.0006960722212711","100","0","0","338.0220832148612","356.6471","0.0399462122709962","2022","Jan","DiscountEco","2022-01-01 00:00:00"
"MU","PKX","SYD","MU","MU","WUH","MU","PVG","0.1051","6.933673628622971e-05","100","0","0","353.7307326355852","37.1771","0.0398112817073029","2022","Jan","DiscountEco","2022-01-01 00:00:00"
"MU","SZX","SYD","CZ","MU","PVG",NULL,NULL,"0.1518","0.0001001457332849","95.12648221343876","0","4.882542819499341","299.95652173913044","45.5334","0.0404919271965282","2022","Jan","DiscountEco","2022-01-01 00:00:00"
"VN","UIH","SYD","VJ","VN","SGN",NULL,NULL,"0.7062","0.0004658953678909","99.91905409232513","0.0809459076748796","0","282.05380911922964","199.1864","0.0408722273878994","2022","Jan","DiscountEco","2022-01-01 00:00:00"
"VN","VII","SYD","QH","VN","SGN",NULL,NULL,"0.6537","0.0004312599858259","99.91919229004132","0.0808077099586966","0","305.68670644026315","199.8274","0.0404052143315777","2022","Jan","DiscountEco","2022-01-01 00:00:00"
"CI","CKG","SYD","CA","CA","PVG","CI","TPE","0.4578","0.0003020205316064","100","0","0","338.0266491917868","154.7486","0.0399467518614329","2022","Jan","DiscountEco","2022-01-01 00:00:00"
"CI","SZX","SYD","CZ","CZ","PVG","CI","TPE","0.1625","0.0001072047540105","95.12504615384614","0","4.883981538461538","300.09292307692306","48.7651","0.0405103403752362","2022","Jan","DiscountEco","2022-01-01 00:00:00"
"CI","HKG","SYD","CI","CI","TPE",NULL,NULL,"0.9681","0.0006386764452778","99.66866232827188","0.3313376717281273","0","298.67017870054747","289.1426","0.0405207520482276","2022","Jan","DiscountEco","2022-01-01 00:00:00"
"CI","HAN","SYD","CI","CI","TPE",NULL,NULL,"2.3801","0.0015702032924343","100","0","0","313.01508339985713","745.0072","0.0402855333234241","2022","Jan","DiscountEco","2022-01-01 00:00:00"
"CI","HAN","SYD","VN","CI","TPE",NULL,NULL,"0.0131","8.642352477160887e-06","100","0","0","313.43511450381675","4.106","0.0403395919868334","2022","Jan","DiscountEco","2022-01-01 00:00:00"
